City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Middelburg,ZA,2022-09-28 20:01:47,-25.7751,29.4648,64.26,52,0,6.62
67,Fethiye,TR,2022-09-28 20:01:48,36.6217,29.1164,71.47,67,2,3.24
68,Hirara,JP,2022-09-28 20:00:16,24.8,125.2833,80.98,77,6,5.01
69,Codrington,AU,2022-09-28 20:01:48,-38.2667,141.9667,52.32,80,100,7.9
70,Northam,GB,2022-09-28 20:01:48,51.0333,-4.2167,54.61,76,86,12.08
71,Yellowknife,CA,2022-09-28 20:01:17,62.456,-114.3525,51.57,53,55,11.99
72,Atuona,PF,2022-09-28 20:01:49,-9.8,-139.0333,76.77,78,13,22.84
73,Airai,TL,2022-09-28 20:01:49,-8.9266,125.4092,61.05,88,64,1.95
74,Vao,NC,2022-09-28 20:01:50,-22.6667,167.4833,74.7,73,67,13.62
75,Carnarvon,AU,2022-09-28 20:01:50,-24.8667,113.6333,66.99,65,0,9.6
76,Lorengau,PG,2022-09-28 20:01:51,-2.0226,147.2712,81.32,71,100,10.33
77,Kenai,US,2022-09-28 20:01:51,60.5544,-151.2583,51.15,74,100,13.67
78,Kodiak,US,2022-09-28 19:59:43,57.79,-152.4072,53.11,71,100,6.91
79,Beringovskiy,RU,2022-09-28 20:01:52,63.05,179.3167,33.06,79,97,16.42
80,Le Port,RE,2022-09-28 20:01:38,-20.9373,55.2919,69.8,74,74,1.63
81,Torbay,CA,2022-09-28 20:01:52,47.6666,-52.7314,68.88,93,100,7.0
82,Qaqortoq,GL,2022-09-28 20:01:52,60.7167,-46.0333,43.47,95,100,3.69
83,Jamestown,US,2022-09-28 19:59:39,42.097,-79.2353,59.52,76,100,9.22
84,Lavrentiya,RU,2022-09-28 20:01:53,65.5833,-171.0,40.32,90,100,17.2
85,Port Hardy,CA,2022-09-28 20:01:53,50.6996,-127.4199,58.39,88,92,3.18
86,Chuy,UY,2022-09-28 20:01:54,-33.6971,-53.4616,56.77,59,0,11.18
87,Nishihara,JP,2022-09-28 20:01:54,26.1842,127.7558,78.08,83,59,8.05
88,Klaksvik,FO,2022-09-28 20:01:54,62.2266,-6.589,43.72,85,100,11.95
89,Lebu,CL,2022-09-28 20:02:55,-37.6167,-73.65,56.34,71,0,13.67
90,Provideniya,RU,2022-09-28 20:02:55,64.3833,-173.3,37.69,90,100,11.03
91,Diamantino,BR,2022-09-28 20:02:56,-14.4086,-56.4461,78.67,75,100,8.28
92,Port Blair,IN,2022-09-28 20:02:56,11.6667,92.75,81.18,80,100,11.5
93,Port Lincoln,AU,2022-09-28 20:00:30,-34.7333,135.8667,53.26,69,90,9.62
94,Labuhan,ID,2022-09-28 20:02:56,-6.8844,112.2051,77.54,80,75,7.65
95,Borogontsy,RU,2022-09-28 20:02:57,62.6683,131.1683,26.76,87,100,8.75
96,Mount Gambier,AU,2022-09-28 20:02:57,-37.8333,140.7667,50.16,81,100,4.25
97,Bilma,NE,2022-09-28 20:02:57,18.6853,12.9164,93.15,12,60,6.82
98,Manavgat,TR,2022-09-28 20:02:58,36.7867,31.4431,73.13,74,5,5.79
99,Ondjiva,AO,2022-09-28 20:02:59,-17.0667,15.7333,78.93,18,84,4.72
100,Sakakah,SA,2022-09-28 20:02:59,29.9697,40.2064,80.29,13,0,9.13
101,Cozumel,MX,2022-09-28 20:02:09,20.5083,-86.9458,89.01,75,81,5.99
102,Noshiro,JP,2022-09-28 20:03:00,40.2039,140.0242,59.38,91,98,3.67
103,Tuktoyaktuk,CA,2022-09-28 20:03:01,69.4541,-133.0374,30.27,93,99,4.74
104,Sungaipenuh,ID,2022-09-28 20:03:01,-2.0833,101.3833,62.55,95,90,1.66
105,Aklavik,CA,2022-09-28 20:03:01,68.2191,-135.0107,30.6,92,75,10.58
